complexity, loss     , score                 , equation                                                                                                                                                   , sympy_format                                                                                                                   , lambda_format
         1, 4.664711 , 0.0                   , 3.2888223e-5                                                                                                                                               , 3.28882230000000e-5                                                                                                            , PySRFunction(X=>0.0000328882230000000)
         3, 4.6064205, 0.006287395243879363  , (0.24135315 * a_z)                                                                                                                                         , 0.24135315*a_z                                                                                                                 , PySRFunction(X=>0.24135315*a_z)
         4, 3.8327665, 0.183864224993752     , (sin(theta) * dtheta)                                                                                                                                      , dtheta*sin(theta)                                                                                                              , PySRFunction(X=>dtheta*sin(theta))
         6, 3.6590192, 0.0231958664217276    , (sin(theta * 1.374618) * dtheta)                                                                                                                           , dtheta*sin(1.374618*theta)                                                                                                     , PySRFunction(X=>dtheta*sin(1.374618*theta))
         7, 3.5754917, 0.023092428208677608  , ((sin(theta) - sin(a_x)) * dtheta)                                                                                                                         , dtheta*(-sin(a_x) + sin(theta))                                                                                                , PySRFunction(X=>dtheta*(-sin(a_x) + sin(theta)))
         8, 3.4312341, 0.04118271276477659   , (tanh(gama - (theta * dtheta)) * dtheta)                                                                                                                   , -dtheta*tanh(dtheta*theta - gama)                                                                                              , PySRFunction(X=>-dtheta*tanh(dtheta*theta - gama))
         9, 3.2085936, 0.06708728209174343   , ((sin(theta) - tanh(theta * dtheta)) * dtheta)                                                                                                             , dtheta*(sin(theta) - tanh(dtheta*theta))                                                                                       , PySRFunction(X=>dtheta*(sin(theta) - tanh(dtheta*theta)))
        10, 3.1995049, 0.0028366312079421024 , ((sin(theta) - tanh(tanh(theta) * dtheta)) * dtheta)                                                                                                       , dtheta*(sin(theta) - tanh(dtheta*tanh(theta)))                                                                                 , PySRFunction(X=>dtheta*(sin(theta) - tanh(dtheta*tanh(theta))))
        11, 3.0985599, 0.032058623917527486  , (((cos(a_surge) - tanh(theta * dtheta)) - 0.29961845) * dtheta)                                                                                            , dtheta*(cos(a_surge) - tanh(dtheta*theta) - 0.29961845)                                                                        , PySRFunction(X=>dtheta*(cos(a_surge) - tanh(dtheta*theta) - 0.29961845))
        12, 3.0823247, 0.00525337015290625   , (((cos(a_surge) - tanh(theta * dtheta)) - abs(0.34657508)) * dtheta)                                                                                       , dtheta*(cos(a_surge) - tanh(dtheta*theta) - 0.34657508)                                                                        , PySRFunction(X=>dtheta*(cos(a_surge) - tanh(dtheta*theta) - 0.34657508))
        14, 3.0160286, 0.010871576077848685  , ((tanh(theta) - tanh(((theta / gama) * dtheta) + square(v_surge))) * dtheta)                                                                               , dtheta*(tanh(theta) - tanh(dtheta*theta/gama + v_surge**2))                                                                    , PySRFunction(X=>dtheta*(tanh(theta) - tanh(dtheta*theta/gama + v_surge**2)))
        15, 2.9130802, 0.03472992350685813   , ((tanh(theta) - tanh((((theta / gama) * dtheta) / 2.3879125) + theta)) * dtheta)                                                                           , dtheta*(tanh(theta) - tanh(0.418775813602885*dtheta*theta/gama + theta))                                                       , PySRFunction(X=>dtheta*(tanh(theta) - tanh(0.418775813602885*dtheta*theta/gama + theta)))
        19, 2.8958504, 0.001483048405474282  , (((tanh(theta) + -0.11015397) - tanh(((((theta / gama) - -0.1527655) * dtheta) / 2.3879125) + theta)) * dtheta)                                            , dtheta*(tanh(theta) - tanh(0.418775813602885*dtheta*(0.1527655 + theta/gama) + theta) - 0.11015397)                            , PySRFunction(X=>dtheta*(tanh(theta) - tanh(0.418775813602885*dtheta*(0.1527655 + theta/gama) + theta) - 0.11015397))
        22, 2.888084 , 0.0008951697501478989 , (((tanh(theta) + -0.11015397) - tanh(((((theta / gama) - sin(-0.1527655 - theta)) * dtheta) / 2.3879125) + theta)) * dtheta)                               , dtheta*(tanh(theta) - tanh(0.418775813602885*dtheta*(sin(theta + 0.1527655) + theta/gama) + theta) - 0.11015397)               , PySRFunction(X=>dtheta*(tanh(theta) - tanh(0.418775813602885*dtheta*(sin(theta + 0.1527655) + theta/gama) + theta) - 0.11015397))
        23, 2.8735073, 0.005059967061848032  , ((((tanh(theta) + abs(sin(-0.11015397))) + -0.11015397) - tanh(((((theta / gama) - -0.1527655) * dtheta) / 2.3879125) + theta)) * dtheta)                  , dtheta*(tanh(theta) - tanh(0.418775813602885*dtheta*(0.1527655 + theta/gama) + theta) - 0.000222631044271435)                  , PySRFunction(X=>dtheta*(tanh(theta) - tanh(0.418775813602885*dtheta*(0.1527655 + theta/gama) + theta) - 0.000222631044271435))
        24, 2.8734336, 2.5648428019889435e-05, ((((tanh(theta) + abs(sin(-0.11015397))) + -0.11015397) - tanh(((((theta / gama) - sin(-0.1527655)) * dtheta) / 2.3879125) + theta)) * dtheta)             , dtheta*(tanh(theta) - tanh(0.418775813602885*dtheta*(0.152172003953804 + theta/gama) + theta) - 0.000222631044271435)          , PySRFunction(X=>dtheta*(tanh(theta) - tanh(0.418775813602885*dtheta*(0.152172003953804 + theta/gama) + theta) - 0.000222631044271435))
        25, 2.8639586, 0.003302897303644632  , ((tanh(theta) - tanh((((tanh(tanh(sin(V_x + 0.2408046)) / 0.7333241) + tanh(theta)) * dtheta) / gama) + theta)) * (dtheta + theta))                        , (dtheta + theta)*(tanh(theta) - tanh(dtheta*(tanh(theta) + tanh(1.36365353327403*tanh(sin(V_x + 0.2408046))))/gama + theta))   , PySRFunction(X=>(dtheta + theta)*(tanh(theta) - tanh(dtheta*(tanh(theta) + tanh(1.36365353327403*tanh(sin(V_x + 0.2408046))))/gama + theta)))
        26, 2.8581142, 0.002042756964685877  , ((((tanh(theta) + abs(sin(-0.11015397))) + -0.11015397) - tanh(((((theta / gama) - sin(-0.1527655 - theta)) * dtheta) / 2.3879125) + theta)) * dtheta)     , dtheta*(tanh(theta) - tanh(0.418775813602885*dtheta*(sin(theta + 0.1527655) + theta/gama) + theta) - 0.000222631044271435)     , PySRFunction(X=>dtheta*(tanh(theta) - tanh(0.418775813602885*dtheta*(sin(theta + 0.1527655) + theta/gama) + theta) - 0.000222631044271435))
        27, 2.8565474, 0.0005483439436760347 , ((((tanh(theta) + abs(sin(-0.11015397))) + -0.11015397) - tanh(((((theta / gama) - sin(sin(-0.1527655 - theta))) * dtheta) / 2.3879125) + theta)) * dtheta), dtheta*(tanh(theta) - tanh(0.418775813602885*dtheta*(sin(sin(theta + 0.1527655)) + theta/gama) + theta) - 0.000222631044271435), PySRFunction(X=>dtheta*(tanh(theta) - tanh(0.418775813602885*dtheta*(sin(sin(theta + 0.1527655)) + theta/gama) + theta) - 0.000222631044271435))
