complexity, loss         , score                , equation                                                                                                                                   , sympy_format                                                                                                                    , lambda_format
         1, 0.002682753  , 0.0                  , -3.3953356e-9                                                                                                                              , -3.39533560000000e-9                                                                                                            , PySRFunction(X=>-3.39533560000000E-9)
         3, 0.0023400364 , 0.06833851063790837  , (x14 - x16)                                                                                                                                , x14 - x16                                                                                                                       , PySRFunction(X=>x14 - x16)
         5, 0.0020877314 , 0.057044231452672456 , (-0.046759807 * (x3 + x5))                                                                                                                 , -0.046759807*x3 - 0.046759807*x5                                                                                                , PySRFunction(X=>-0.046759807*x3 - 0.046759807*x5)
         6, 0.0016072065 , 0.2615804430877776   , ((x14 - x16) * abs(x14))                                                                                                                   , (x14 - x16)*Abs(x14)                                                                                                            , PySRFunction(X=>(x14 - x16)*Abs(x14))
         7, 0.0010030479 , 0.47145431424176376  , sin((x14 - x16) * 5.576304)                                                                                                                , sin(5.576304*x14 - 5.576304*x16)                                                                                                , PySRFunction(X=>sin(5.576304*x14 - 5.576304*x16))
         9, 0.0005317516 , 0.31731104027142043  , (sin((x14 - x16) * 18.099586) * 0.27012593)                                                                                                , 0.27012593*sin(18.099586*x14 - 18.099586*x16)                                                                                   , PySRFunction(X=>0.27012593*sin(18.099586*x14 - 18.099586*x16))
        11, 0.0005244245 , 0.006937496074685065 , (sin((x14 - x16) * (16.874996 + x0)) * 0.2861582)                                                                                          , 0.2861582*sin((x0 + 16.874996)*(x14 - x16))                                                                                     , PySRFunction(X=>0.2861582*sin((x0 + 16.874996)*(x14 - x16)))
        12, 0.0005202239 , 0.008042175032311626 , (sin((x14 - x16) * (16.874933 + abs(x16))) * 0.2686853)                                                                                    , 0.2686853*sin((x14 - x16)*(Abs(x16) + 16.874933))                                                                               , PySRFunction(X=>0.2686853*sin((x14 - x16)*(Abs(x16) + 16.874933)))
        13, 0.00051774696, 0.004772667128084358 , (sin((x14 - x16) * (16.597025 - (x13 * x3))) * 0.2701145)                                                                                  , 0.2701145*sin((x14 - x16)*(-x13*x3 + 16.597025))                                                                                , PySRFunction(X=>0.2701145*sin((x14 - x16)*(-x13*x3 + 16.597025)))
        14, 0.00051094824, 0.013218335210584605 , (sin((x14 - x16) * (16.597025 + abs(x13 * x3))) * 0.2701145)                                                                               , 0.2701145*sin((x14 - x16)*(Abs(x13*x3) + 16.597025))                                                                            , PySRFunction(X=>0.2701145*sin((x14 - x16)*(Abs(x13*x3) + 16.597025)))
        15, 0.0005060784 , 0.009576695491382563 , (sin((x14 - x16) * (16.308876 + ((-1.8301699 - x17) * x1))) * 0.26937744)                                                                  , 0.26937744*sin((x14 - x16)*(x1*(-x17 - 1.8301699) + 16.308876))                                                                 , PySRFunction(X=>0.26937744*sin((x14 - x16)*(x1*(-x17 - 1.8301699) + 16.308876)))
        16, 0.00050343847, 0.0052300978738491245, (sin((x14 - x16) * (16.597025 + abs((x13 * x3) + x1))) * 0.2701145)                                                                        , 0.2701145*sin((x14 - x16)*(Abs(x1 + x13*x3) + 16.597025))                                                                       , PySRFunction(X=>0.2701145*sin((x14 - x16)*(Abs(x1 + x13*x3) + 16.597025)))
        17, 0.00046711665, 0.07488248777816728  , ((((x14 - x16) * 9.300923) * abs(tanh((x13 - 0.7851154) * -62.661816))) * 0.50246227)                                                      , 0.50246227*(9.300923*x14 - 9.300923*x16)*Abs(tanh(62.661816*x13 - 49.1967567335664))                                            , PySRFunction(X=>0.50246227*(9.300923*x14 - 9.300923*x16)*Abs(tanh(62.661816*x13 - 49.1967567335664)))
        19, 0.0004487756 , 0.020028013407864302 , ((((x14 - x16) * 9.3664875) * tanh(square(x15) + abs(x13 - 0.78404826))) * 0.5262877)                                                      , 0.5262877*(9.3664875*x14 - 9.3664875*x16)*tanh(x15**2 + Abs(x13 - 0.78404826))                                                  , PySRFunction(X=>0.5262877*(9.3664875*x14 - 9.3664875*x16)*tanh(x15**2 + Abs(x13 - 0.78404826)))
        20, 0.00044789695, 0.0019598018947458713, ((sin((x14 - x16) * 9.3664875) * tanh(abs(x15) + abs(x13 - 0.78404826))) * 0.5262877)                                                      , 0.5262877*sin(9.3664875*x14 - 9.3664875*x16)*tanh(Abs(x15) + Abs(x13 - 0.78404826))                                             , PySRFunction(X=>0.5262877*sin(9.3664875*x14 - 9.3664875*x16)*tanh(Abs(x15) + Abs(x13 - 0.78404826)))
        21, 0.00044153648, 0.01430253959723768  , ((((x14 - x16) * 9.300921) * tanh(square(x15) + abs((x13 - 0.92836183) + x5))) * 0.52071655)                                               , 0.52071655*(9.300921*x14 - 9.300921*x16)*tanh(x15**2 + Abs(x13 + x5 - 0.92836183))                                              , PySRFunction(X=>0.52071655*(9.300921*x14 - 9.300921*x16)*tanh(x15**2 + Abs(x13 + x5 - 0.92836183)))
        22, 0.00043083008, 0.02454687760841691  , ((((x14 - x16) * 9.300921) * abs(tanh((square(x15) - x5) + abs(x13 - 0.62548137)))) * 0.53102064)                                          , 0.53102064*(9.300921*x14 - 9.300921*x16)*Abs(tanh(x15**2 - x5 + Abs(x13 - 0.62548137)))                                         , PySRFunction(X=>0.53102064*(9.300921*x14 - 9.300921*x16)*Abs(tanh(x15**2 - x5 + Abs(x13 - 0.62548137))))
        24, 0.0004185886 , 0.014412595211791179 , ((((x14 - x16) * 9.300921) * tanh(abs((square(x15) - x5) + abs((x13 + x5) - 0.80052507)))) * 0.53102064)                                   , 0.53102064*(9.300921*x14 - 9.300921*x16)*tanh(Abs(x15**2 - x5 + Abs(x13 + x5 - 0.80052507)))                                    , PySRFunction(X=>0.53102064*(9.300921*x14 - 9.300921*x16)*tanh(Abs(x15**2 - x5 + Abs(x13 + x5 - 0.80052507))))
        26, 0.00041732605, 0.0015103826210801272, ((((x14 - x16) * 9.300921) * abs(tanh((square(x15 - 0.074196234) - x5) + abs((x13 + x5) - 0.7873469)))) * 0.5262877)                       , 0.5262877*(9.300921*x14 - 9.300921*x16)*Abs(tanh(-x5 + (x15 - 0.074196234)**2 + Abs(x13 + x5 - 0.7873469)))                     , PySRFunction(X=>0.5262877*(9.300921*x14 - 9.300921*x16)*Abs(tanh(-x5 + (x15 - 0.074196234)**2 + Abs(x13 + x5 - 0.7873469))))
        27, 0.00041710224, 0.0005364391597200009, ((((x14 - x16) * 9.300921) * abs(tanh((square(x15 - 0.08047286) - x5) + abs((x13 + x5) - 0.7873469)))) * abs(-0.5329675))                  , 0.5329675*(9.300921*x14 - 9.300921*x16)*Abs(tanh(-x5 + (x15 - 0.08047286)**2 + Abs(x13 + x5 - 0.7873469)))                      , PySRFunction(X=>0.5329675*(9.300921*x14 - 9.300921*x16)*Abs(tanh(-x5 + (x15 - 0.08047286)**2 + Abs(x13 + x5 - 0.7873469))))
        28, 0.00041708615, 3.857641797674099e-05, ((((x14 - x16) * 9.300921) * (abs(tanh((square(x15 - 0.074196234) - x5) + abs((x13 + x5) - 0.7873469))) * 1.011672)) * 0.5262877)          , 0.5324305300344*(9.300921*x14 - 9.300921*x16)*Abs(tanh(-x5 + (x15 - 0.074196234)**2 + Abs(x13 + x5 - 0.7873469)))               , PySRFunction(X=>0.5324305300344*(9.300921*x14 - 9.300921*x16)*Abs(tanh(-x5 + (x15 - 0.074196234)**2 + Abs(x13 + x5 - 0.7873469))))
        29, 0.00041660247, 0.0011603374273436264, ((sin((x14 - x16) * (9.988597 + -0.20168042)) * abs(tanh((abs(x15) - x5) + abs(((x13 + x5) - 0.8631762) * 0.7786671)))) * 0.52071655)      , 0.52071655*sin(9.78691658*x14 - 9.78691658*x16)*Abs(tanh(-x5 + Abs(x15) + Abs(0.7786671*x13 + 0.7786671*x5 - 0.67212690844302))), PySRFunction(X=>0.52071655*sin(9.78691658*x14 - 9.78691658*x16)*Abs(tanh(-x5 + Abs(x15) + Abs(0.7786671*x13 + 0.7786671*x5 - 0.67212690844302))))
        30, 0.00041615227, 0.0010812308167930604, ((((x14 - x16) * (9.300921 - (-0.13652867 * x13))) * abs(tanh((square(x15 - 0.08047286) - x5) + abs((x13 + x5) - 0.7873469)))) * 0.5262877), 0.5262877*(0.13652867*x13 + 9.300921)*(x14 - x16)*Abs(tanh(-x5 + (x15 - 0.08047286)**2 + Abs(x13 + x5 - 0.7873469)))            , PySRFunction(X=>0.5262877*(0.13652867*x13 + 9.300921)*(x14 - x16)*Abs(tanh(-x5 + (x15 - 0.08047286)**2 + Abs(x13 + x5 - 0.7873469))))
